SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3623 W Lexington St,Chicago,IL,60624,210000,3,1.5,CHI - East Garfield Park,2050,2047,1898,1,102,,Active,,,https://www.redfin.com/IL/Chicago/3623-W-Lexington-St-60624/home/26811347,MRED,11646300,N,Y,41.8715448,-87.7164528
MLS Listing,,Single Family Residential,2040 N Hamlin Ave,Chicago,IL,60647,740000,4,3.5,CHI - Logan Square,,,2017,1,,,Active,,,https://www.redfin.com/IL/Chicago/2040-N-Hamlin-Ave-60647/home/109054782,MRED,11646288,N,Y,41.9184904,-87.7219467
MLS Listing,,Condo/Co-op,5310 N Chester Ave #118,Chicago,IL,60656,115000,1,1.0,CHI - O'Hare,600,,1973,1,192,247,Active,,,https://www.redfin.com/IL/Chicago/5310-N-Chester-Ave-60656/unit-118/home/21817021,MRED,11646280,N,Y,41.9761677,-87.8400103
MLS Listing,,Condo/Co-op,2405 W Balmoral Ave Unit 2A,Chicago,IL,60625,125000,1,1.0,CHI - Lincoln Square,750,,1959,1,167,245,Active,,,https://www.redfin.com/IL/Chicago/2405-W-Balmoral-Ave-60625/unit-2A/home/26804664,MRED,11646276,N,Y,41.9790979,-87.6896563
MLS Listing,,Vacant Land,6714 S Perry Ave S,Chicago,IL,60621,99000,,,CHI - Greater Grand Crossing,,,,1,,,Active,,,https://www.redfin.com/IL/Chicago/6714-S-Perry-Ave-60621/home/147915768,MRED,11646272,N,Y,41.7722254,-87.6286448
MLS Listing,,Multi-Family (2-4 Unit),5427 S Wolcott Ave,Chicago,IL,60609,350000,4,2.0,CHI - New City,,,1908,1,,,Active,,,https://www.redfin.com/IL/Chicago/5427-S-Wolcott-Ave-60609/home/13955021,MRED,11646268,N,Y,41.794953,-87.6716447
MLS Listing,,Condo/Co-op,3731 N Saint Louis Ave Unit 2R,Chicago,IL,60618,149990,2,1.0,CHI - Irving Park,,,1914,1,,246,Active,,,https://www.redfin.com/IL/Chicago/3731-N-St-Louis-Ave-60618/unit-2R/home/12617458,MRED,11646259,N,Y,41.9493269,-87.7148866
MLS Listing,,Single Family Residential,7575 W Isham Ave,Chicago,IL,60631,422000,3,1.5,CHI - Edison Park,1100,4438,1947,1,384,,Active,,,https://www.redfin.com/IL/Chicago/7575-W-Isham-St-60631/home/13635727,MRED,11646256,N,Y,41.9976846,-87.8165355
MLS Listing,,Condo/Co-op,6206 N Francisco Ave Unit 2C,Chicago,IL,60659,89900,1,1.0,CHI - West Ridge,550,,1931,1,163,200,Active,,,https://www.redfin.com/IL/Chicago/6206-N-Francisco-Ave-60659/unit-2C/home/12594092,MRED,11646251,N,Y,41.9942579,-87.7022979
MLS Listing,,Single Family Residential,527 N Ridgeway Ave,Chicago,IL,60624,349999,3,3.5,CHI - Humboldt Park,2100,3249,,1,167,,Active,October-8-2022 10:00 AM,October-8-2022 11:30 AM,https://www.redfin.com/IL/Chicago/527-N-Ridgeway-Ave-60624/home/13261995,MRED,11646248,N,Y,41.8907554,-87.7196098
MLS Listing,,Multi-Family (2-4 Unit),12005 S La Salle St,Chicago,IL,60628,239900,4,2.0,CHI - West Pullman,,,1924,1,,,Active,October-8-2022 01:00 PM,October-8-2022 03:00 PM,https://www.redfin.com/IL/Chicago/12005-S-La-Salle-St-60628/home/13057492,MRED,11439671,N,Y,41.6759415,-87.6259457
MLS Listing,,Condo/Co-op,7450 N Claremont Ave Unit 3N,Chicago,IL,60645,249900,3,2.0,CHI - West Ridge,1716,,,1,146,544,Active,October-9-2022 11:00 AM,October-9-2022 01:00 PM,https://www.redfin.com/IL/Chicago/7450-N-Claremont-Ave-60645/unit-3N/home/105514599,MRED,11646239,N,Y,42.017121,-87.689223
MLS Listing,,Single Family Residential,8441 S Paxton Ave,Chicago,IL,60617,289000,4,2.0,CHI - South Chicago,3750,,1923,1,77,,Active,,,https://www.redfin.com/IL/Chicago/8441-S-Paxton-Ave-60617/home/13217758,MRED,11646238,N,Y,41.7413826,-87.5706956
MLS Listing,,Condo/Co-op,2134 W Pierce Ave #3,Chicago,IL,60622,1025000,3,2.5,CHI - West Town,,,1899,1,,325,Active,,,https://www.redfin.com/IL/Chicago/2134-W-Pierce-Ave-60622/unit-3/home/182150411,MRED,11646232,N,Y,41.9096084,-87.6811886
MLS Listing,,Condo/Co-op,4559 S Michigan Ave Unit 1S,Chicago,IL,60653,299900,3,2.0,CHI - Grand Boulevard,,,2022,1,,154,Active,October-8-2022 11:00 AM,October-8-2022 12:00 PM,https://www.redfin.com/IL/Chicago/4559-S-Michigan-Ave-60653/unit-1S/home/182150213,MRED,11646228,N,Y,41.811419,-87.6224084
